validated,venue_name,venue_type,venue_address,website,events,etc,menu_url,menu_text,venue_notes,phone,email,homemade_pierogies,take_out,alcohol,lunch,handicap,publish,id,latitude,longitude
True,Holy Spirit (West Mifflin),Church,"2603 Old Elizabeth Road, West Mifflin, Pa 15122",https://triumphoftheholycrosspgh.org,"Friday Mar 4 from 3:00 PM to 7:00 PM, Friday Mar 11 from 3:00 PM to 7:00 PM, Friday Mar 18 from 3:00 PM to 7:00 PM, Friday Mar 25 from 3:00 PM to 7:00 PM, Friday Apr 1 from 3:00 PM to 7:00 PM, Friday Apr 8 from 3:00 PM to 7:00 PM, Wednesday Mar 2 from 3:00 PM to 7:00 PM, Friday Apr 15 from 3:00 PM to 7:00 PM",,https://triumphoftheholycrosspgh.org/fish-fry-menu-2022,,Take out only/curbside delivery; advance orders call 412-466-3444,412-466-3444,,,True,,,,True,,40.348065,-79.93331
True,Our Lady of the Miraculous Medal,Church,"300 Pike St, Meadow Lands, PA",https://romeroparish.org/fishfry,"Wednesday Mar 2 from 11:00 AM to 7:00 PM, Friday Mar 4 from 11:00 AM to 7:00 PM, Friday Mar 11 from 11:00 AM to 7:00 PM, Friday Mar 18 from 11:00 AM to 7:00 PM, Friday Mar 25 from 11:00 AM to 7:00 PM, Friday Apr 1 from 11:00 AM to 7:00 PM, Friday Apr 8 from 11:00 AM to 7:00 PM",,https://romeroparish.org/fishfry,,,724-228-8575,fishfry@MiraculousMedalChurch.org,False,True,,True,,True,,40.219197,-80.220646
False,Hanover Volunteer Fire Department Fish Fry,Fire Department,"9 Starck Drive, Burgettstown, PA 15021",http://hanovervfd45.com/,"Wednesday Mar 2 from 11:00 AM to 7:00 PM, Friday Mar 4 from 11:00 AM to 7:00 PM, Friday Mar 11 from 11:00 AM to 7:00 PM, Friday Mar 18 from 11:00 AM to 7:00 PM, Friday Mar 25 from 11:00 AM to 7:00 PM, Friday Apr 1 from 11:00 AM to 7:00 PM, Friday Apr 8 from 11:00 AM to 7:00 PM, Friday Apr 15 from 11:00 AM to 7:00 PM",,,,,724-729-3929,,,True,False,True,,False,,40.380792,-80.393425
True,Geeseytown Community Fire Company,Fire Department,"215 Mary Street, Hollidaysburg, Pennsylvania 16648, United States",https://www.facebook.com/Geeseytown-Community-Fire-Company-1531587100412091/,"Friday Mar 4 from 3:00 PM to 7:00 PM, Friday Mar 11 from 3:00 PM to 7:00 PM, Friday Mar 18 from 3:00 PM to 7:00 PM, Friday Mar 25 from 3:00 PM to 7:00 PM, Friday Apr 1 from 3:00 PM to 7:00 PM, Friday Apr 8 from 3:00 PM to 7:00 PM, Friday Apr 15 from 3:00 PM to 7:00 PM",,,"Baked or Fried Haddock
Macaroni & cheese
Scalloped potatoes or fries
Stewed tomatoes or Harvard beets
Cole slaw
Dinner roll
Desert 
$13.00 per meal
Eat in or Take out",,(814) 695-8003,,,True,,False,,True,,40.450352,-78.345659
True,Nox's Tavern,Restaurant,"720 Blaw Avenue, Pittsburgh, Pennsylvania 15238, United States",https://www.facebook.com/Noxs-Tavern-and-Grille-593528547391999/,"Friday Apr 15 from 11:00 AM to 11:00 PM, Wednesday Mar 2 from 11:00 AM to 11:00 PM, Friday Apr 8 from 11:00 AM to 11:00 PM, Friday Apr 1 from 11:00 AM to 11:00 PM, Friday Mar 25 from 11:00 AM to 11:00 PM, Friday Mar 18 from 11:00 AM to 11:00 PM, Friday Mar 11 from 11:00 AM to 11:00 PM, Friday Mar 4 from 11:00 AM to 11:00 PM",,,,,(412) 794-8233,,,,,,,True,,40.49249,-79.862635
False,Connellsville Twp. VFD,Fire Department,"905 Fireman Street, Connellsville, Pennsylvania 15425, United States",https://www.station7ctvfd.com/,"Wednesday Mar 2 from 11:00 AM to 2:00 PM, Wednesday Mar 2 from 4:00 PM to 7:00 PM, Friday Mar 4 from 11:00 AM to 2:00 PM, Friday Mar 4 from 4:00 PM to 7:00 PM, Friday Mar 11 from 11:00 AM to 2:00 PM, Friday Mar 11 from 4:00 PM to 7:00 PM, Friday Mar 18 from 11:00 AM to 2:00 PM, Friday Mar 25 from 11:00 AM to 2:00 PM, Friday Mar 25 from 4:00 PM to 7:00 PM, Friday Apr 1 from 11:00 AM to 2:00 PM, Friday Apr 1 from 4:00 PM to 7:00 PM, Friday Apr 8 from 11:00 AM to 2:00 PM, Friday Apr 8 from 4:00 PM to 7:00 PM, Friday Apr 15 from 11:00 AM to 2:00 PM, Friday Apr 15 from 4:00 PM to 7:00 PM",,,,,724-628-0900,,False,True,,True,,False,,40.02847,-79.58451
True,St. Fidelis of Sigmaringen,Church,"125 Buttercup Road, Butler, Pennsylvania 16001, United States",https://allsaintsbutler.org/fish-fry,"Friday Mar 4 from 4:00 PM to 7:00 PM, Friday Mar 11 from 4:00 PM to 7:00 PM, Friday Mar 18 from 4:00 PM to 7:00 PM, Friday Mar 25 from 4:00 PM to 7:00 PM, Friday Apr 1 from 4:00 PM to 7:00 PM, Friday Apr 8 from 4:00 PM to 7:00 PM",,https://allsaintsbutler.square.site/,"Fried or Baked Fish
French Fries or Gluten-free Scalloped Potatoes
Green Beans, Coleslaw,
Bread & Butter
Dessert
New Price: $13",,,,,True,,False,,True,,40.847453,-79.971124
True,Rene's,Restaurant,"1030 Fifth Avenue East McKeesport, PA",http://www.renesrestaurant.net/,"Friday Apr 15 from 11:00 AM to 8:00 PM, Wednesday Mar 2 from 11:00 AM to 8:00 PM, Friday Apr 8 from 11:00 AM to 8:00 PM, Friday Apr 1 from 11:00 AM to 8:00 PM, Friday Mar 25 from 11:00 AM to 8:00 PM, Friday Mar 18 from 11:00 AM to 8:00 PM, Friday Mar 11 from 11:00 AM to 8:00 PM, Friday Mar 4 from 11:00 AM to 8:00 PM",,http://www.renesrestaurant.net/?page_id=259,,,412-823-9544,,,True,True,True,,True,,40.383,-79.810268
False,Hills Restaurant,Restaurant,"107 Main St, New Eagle, PA 15067",https://www.hills-restaurant.com,"Wednesday Mar 2 from 7:00 AM to 7:30 PM, Friday Mar 4 from 7:00 AM to 8:00 PM, Friday Mar 11 from 7:00 AM to 7:30 PM, Friday Mar 18 from 7:00 AM to 8:00 PM, Friday Mar 25 from 7:00 AM to 7:30 PM, Friday Apr 1 from 7:00 AM to 8:00 PM, Friday Apr 8 from 7:00 AM to 7:30 PM, Friday Apr 15 from 7:00 AM to 8:00 PM",,,,,724-258-5422,,False,,False,True,,False,,40.206987,-79.940977
True,Hookstown Volunteer Fire Department,Fire Department,"102 Silver Slipper Rd Hookstown, Pennsylvania",https://www.facebook.com/hookstownvfd/,"Friday Mar 4 from 4:30 PM to 7:00 PM, Friday Mar 11 from 4:30 PM to 7:00 PM, Friday Mar 18 from 4:30 PM to 7:00 PM, Friday Mar 25 from 4:30 PM to 7:00 PM, Friday Apr 1 from 4:30 PM to 7:00 PM, Friday Apr 8 from 4:30 PM to 7:00 PM, Friday Apr 15 from 4:30 PM to 7:00 PM",,,"Fish Dinner w/2 sides-Whole, 16
Fish Dinner w/2 sides-Half, 13
Fish Sandwich - 12
Shrimp Dinner - 13
Chicken Dinner - 11
Fish on a dish - 11, or 9 for half
Side-2
Pop-.5",,(724) 573-4111,,,True,,False,,True,,40.58616,-80.475548
True,St. Philip- Ascension Worship Site,Church,"114 Berry St., Pittsburgh, PA",https://www.saintphilipchurch.org,"Friday Mar 4 from 4:00 PM to 7:00 PM, Friday Mar 11 from 4:00 PM to 7:00 PM, Friday Mar 18 from 4:00 PM to 7:00 PM, Friday Mar 25 from 4:00 PM to 7:00 PM, Friday Apr 1 from 4:00 PM to 7:00 PM, Friday Apr 8 from 4:00 PM to 7:00 PM, Wednesday Mar 2 from 4:00 PM to 7:00 PM, Friday Apr 15 from 4:00 PM to 7:00 PM",,https://www.saintphilipchurch.org/assets/FishFryMenu22.pdf,,,,,,False,,False,,True,,40.449117,-80.068625
True,Adamsburg VFD,Fire Department,"495 Edna Rd, Adamsburg, Pennsylvania 15611",https://www.facebook.com/AdamsburgVfd,"Friday Mar 4 from 11:00 AM to 7:00 PM, Friday Mar 11 from 11:00 AM to 7:00 PM, Friday Mar 18 from 11:00 AM to 7:00 PM, Friday Mar 25 from 11:00 AM to 7:00 PM, Friday Apr 1 from 11:00 AM to 7:00 PM, Friday Apr 8 from 11:00 AM to 7:00 PM, Friday Apr 15 from 11:00 AM to 7:00 PM",,,,2/23 update: Fish Fry is planned but no details available yet. , (724) 527-6250,Chief@Adamsburgpafire.org,True,True,False,True,,True,,40.307082,-79.655381
True,Holy Family School,Church,"418 Unity Center Road, Pittsburgh, Pennsylvania 15239, United States",https://holyfamilypgh.org/,"Friday Mar 4 from 4:00 PM to 7:00 PM, Friday Mar 11 from 4:00 PM to 7:00 PM, Friday Mar 18 from 4:00 PM to 7:00 PM, Friday Mar 25 from 4:00 PM to 7:00 PM, Friday Apr 1 from 4:00 PM to 7:00 PM, Friday Apr 8 from 4:00 PM to 7:00 PM",,https://www.facebook.com/HolyFamilyPGH/photos/a.678008899014464/2168094103339262/,"Breaded Fish Dinner or Baked Fish dinner $14 includes fries, slaw, mac and cheese, bun, dessert; sides may vary due to availability
kids menu $5 pizza w/fries",,412-828-9846 ,,,True,,,,True,,40.487594,-79.776601
True,PJ's Deli,Restaurant,"Bower Hill at McLaughlin Run, Bridgeville, PA",http://www.pjbakery.com/#/,"Friday Apr 15 from 3:00 PM to 7:00 PM, Wednesday Mar 2 from 3:00 PM to 7:00 PM, Friday Apr 8 from 3:00 PM to 7:00 PM, Friday Apr 1 from 3:00 PM to 7:00 PM, Friday Mar 25 from 3:00 PM to 7:00 PM, Friday Mar 18 from 3:00 PM to 7:00 PM, Friday Mar 11 from 3:00 PM to 7:00 PM, Friday Mar 4 from 3:00 PM to 7:00 PM",,,"Ash Wednesday FISH FRY at PJ's from 3pm to 7pm. FISH SAMMIES, DINNERS, SHRIMP, CRAB CAKES, SEAFOOD PLATTERS, PIEROGI, CABBAGE & NOODLES, MAC & CHEESE and lot's of homemade DESSERTS. Lenten fish frys are generally VERY busy for us. Many times we have to stop answering the phones as our equipment and staff can only prepare and cook so much. We suggest you phone in your order during the week either while we are open or after hours you can leave your order on our answering machine. We thank you for your continued patronage! Don't forget to check out our EASTER DINNER PACKAGE on our web page at www.pjbakery.com",,412-257-4944,,True,True,,,,True,,40.35834,-80.105278
True,Rural Ridge Fire ,Fire Department,"135 Little Deer Creek Road, Rural Ridge, PA 15075",https://www.facebook.com/Rural-Ridge-Volunteer-Fire-Co-156352784403369/,"Friday Apr 15 from 3:00 PM to 7:00 PM, Friday Apr 8 from 3:00 PM to 7:00 PM, Friday Apr 1 from 3:00 PM to 7:00 PM, Friday Mar 25 from 3:00 PM to 7:00 PM, Friday Mar 18 from 3:00 PM to 7:00 PM, Friday Mar 11 from 3:00 PM to 7:00 PM, Friday Mar 4 from 3:00 PM to 7:00 PM",,https://www.facebook.com/156352784403369/photos/a.1352758458096123/7349740008397908,,,,,False,True,,True,,True,,40.58562,-79.82866
True,Hiller Volunteer Fire Company,Fire Department,"911 1st Street, Hiller, Pennsylvania 15444, United States",https://www.facebook.com/hillervfc/,"Wednesday Mar 2 from 11:00 AM to 8:00 PM, Friday Mar 4 from 11:00 AM to 8:00 PM, Friday Mar 11 from 11:00 AM to 8:00 PM, Friday Mar 18 from 11:00 AM to 8:00 PM, Friday Mar 25 from 11:00 AM to 8:00 PM, Friday Apr 1 from 11:00 AM to 8:00 PM, Friday Apr 8 from 11:00 AM to 8:00 PM, Friday Apr 15 from 11:00 AM to 8:00 PM",,,,,(724) 785-9793,,True,True,,True,,True,,40.010286,-79.902608
True,American Legion Post 712,Veteran's Organization,"650 Old Clairton Road, Pleasant Hills, Pennsylvania 15236, United States",http://www.alpost712pa.org/,"Friday Mar 4 from 4:00 PM to 8:00 PM, Friday Mar 11 from 4:00 PM to 8:00 PM, Friday Mar 18 from 4:00 PM to 8:00 PM, Friday Mar 25 from 4:00 PM to 8:00 PM, Friday Apr 1 from 4:00 PM to 8:00 PM, Friday Apr 8 from 4:00 PM to 8:00 PM, Friday Apr 15 from 4:00 PM to 8:00 PM",May be members only - call ahead,," Fish, Fries and Cole Slaw $10 4-8 PM",ATM and free Wi-Fi available. ,(412) 653-1555,,,True,,,,False,,40.324625,-79.958014
True,Pub in the Park,Restaurant,"7034 Blackhawk Street, Pittsburgh, Pennsylvania 15218, United States",http://www.thepubinthepark.com/,"Friday Mar 4 from 11:00 AM to 9:00 PM, Friday Mar 11 from 11:00 AM to 9:00 PM, Friday Mar 18 from 11:00 AM to 9:00 PM, Friday Mar 25 from 11:00 AM to 9:00 PM, Friday Apr 1 from 11:00 AM to 9:00 PM, Friday Apr 8 from 11:00 AM to 9:00 PM",,http://www.thepubinthepark.com/uploads/1/1/3/4/113412921/lent2022.pdf,,,412-241-9242,,,True,True,True,,True,,40.421372,-79.897564
True,Original Oyster House,Restaurant,"20 Market Square, Pittsburgh, PA 15222",http://originaloysterhousepittsburgh.com/,"Wednesday Mar 2 from 11:00 AM to 7:00 PM, Friday Mar 4 from 11:00 AM to 7:00 PM, Friday Mar 11 from 11:00 AM to 7:00 PM, Friday Mar 18 from 11:00 AM to 7:00 PM, Friday Mar 25 from 11:00 AM to 7:00 PM, Friday Apr 1 from 11:00 AM to 7:00 PM, Friday Apr 8 from 11:00 AM to 7:00 PM, Friday Apr 15 from 11:00 AM to 7:00 PM",,http://www.originaloysterhousepittsburgh.com/menu,,,412-566-7925,,,True,True,True,,True,,40.440974,-80.001995
False,Crescent Township Volunteer Fire Department,Fire Department,"79 Mcgovern Boulevard, Crescent, Pennsylvania 15046, United States",,"Wednesday Mar 2 from 4:00 PM to 7:00 PM, Friday Mar 4 from 4:00 PM to 7:00 PM, Friday Mar 11 from 4:00 PM to 7:00 PM, Friday Mar 18 from 4:00 PM to 7:00 PM, Friday Mar 25 from 4:00 PM to 7:00 PM, Friday Apr 1 from 4:00 PM to 7:00 PM, Friday Apr 8 from 4:00 PM to 7:00 PM, Friday Apr 15 from 4:00 PM to 7:00 PM",,,,,724-457-7430,,,True,,,True,False,,40.556081,-80.221063
False,Mahoning Township VFD,Fire Department,"570 Jackson St Edinburg, Pennsylvania",https://www.facebook.com/Mahoning-Township-Volunteer-Fire-Department-606000249480025/,"Friday Apr 15 from 4:00 PM to 7:00 PM, Friday Apr 8 from 4:00 PM to 7:00 PM, Friday Apr 1 from 4:00 PM to 7:00 PM, Friday Mar 25 from 4:00 PM to 7:00 PM, Friday Mar 18 from 4:00 PM to 7:00 PM, Friday Mar 11 from 4:00 PM to 7:00 PM, Friday Mar 4 from 4:00 PM to 7:00 PM, Friday Apr 15 from 11:00 AM to 2:00 PM, Friday Apr 8 from 11:00 AM to 2:00 PM, Friday Apr 1 from 11:00 AM to 2:00 PM, Friday Mar 25 from 11:00 AM to 2:00 PM, Friday Mar 18 from 11:00 AM to 2:00 PM, Friday Mar 11 from 11:00 AM to 2:00 PM, Friday Mar 4 from 11:00 AM to 2:00 PM",,,,,(724) 667-8431,,,True,,,,False,,41.014327,-80.434998
True,Islam Grotto Annual Lenten Fish Dinner,Community Organization,"3579 Masonic Way, Pittsburgh, Pennsylvania 15237, United States",https://www.facebook.com/islamgrotto/,"Friday Mar 4 from 5:00 PM to 7:00 PM, Friday Mar 11 from 5:00 PM to 7:00 PM, Friday Mar 18 from 5:00 PM to 7:00 PM, Friday Mar 25 from 5:00 PM to 7:00 PM, Friday Apr 1 from 5:00 PM to 7:00 PM, Friday Apr 8 from 5:00 PM to 7:00 PM, Friday Apr 15 from 5:00 PM to 7:00 PM",,https://www.facebook.com/events/242914984633564/,"Please join us for our Annual Lenten Fish Dinners. Menu includes Deep Fried or Baked Icelandic Cod sandwich, Macaroni & Cheese, Haluski, Cole Slaw and Stewed Tomatoes. The price per dinner is $12.00.",Free parking at/Greater Pittsburgh Masonic Center,,,,True,,False,,True,,40.511275,-80.015336
False,Patterson Township Vol. Fire Co.,Fire Department,"407 Darlington Rd, Beaver Falls, PA 15010",https://www.facebook.com/pattersontwpfire/,"Friday Mar 4 from 4:00 PM to 7:00 PM, Friday Mar 11 from 4:00 PM to 7:00 PM, Friday Mar 18 from 4:00 PM to 7:00 PM, Friday Mar 25 from 4:00 PM to 7:00 PM, Friday Apr 1 from 4:00 PM to 7:00 PM, Friday Apr 8 from 4:00 PM to 7:00 PM, Friday Apr 15 from 4:00 PM to 7:00 PM",,,,,724-843-9617,,True,True,,False,,False,,40.745071,-80.333821
True,Antonio's Pizzeria,Unsure / N/A,"758 Brookline Boulevard, Pittsburgh, Pennsylvania 15226, United States",,"Friday Apr 15 from 11:00 AM to 11:00 PM, Friday Apr 8 from 11:00 AM to 11:00 PM, Friday Apr 1 from 11:00 AM to 11:00 PM, Friday Mar 25 from 11:00 AM to 11:00 PM, Friday Mar 18 from 11:00 AM to 11:00 PM, Friday Mar 11 from 11:00 AM to 11:00 PM, Friday Mar 4 from 11:00 AM to 11:00 PM",,https://www.facebook.com/antoniospizzeriapgh/photos/a.431746610765113/990792244860544/,,"Order online at https://antoniospizzeria.hungerrush.com/ or call us at 412-388-1000. Get your orders in early if you want the mac & cheese, Carolina coleslaw, or the halushki, since they are made in limited quantities and we often sell out of them!",412-388-1000,,,True,,,,True,,40.39361,-80.02016
False,Stone Church VFD,Fire Department,"621 Stone Church Rd., Wheeling, WV",https://www.facebook.com/StoneChurchFire/,"Friday Mar 4 from 4:00 PM to 7:00 PM, Friday Mar 11 from 4:00 PM to 7:00 PM, Friday Mar 18 from 4:00 PM to 7:00 PM, Friday Mar 25 from 4:00 PM to 7:00 PM, Friday Apr 1 from 4:00 PM to 7:00 PM, Friday Apr 8 from 4:00 PM to 7:00 PM, Friday Apr 15 from 4:00 PM to 7:00 PM",,,,,304-243-1571,,True,True,,False,,False,,40.038195,-80.638455
False,"St. Vincent de Paul, New Castle",Church,"1 Lucymont Drive, New Castle, Pennsylvania 16102, United States",https://holyspiritparishoflawrencecounty.org/,"Friday Mar 4 from 11:00 AM to 6:00 PM, Friday Mar 11 from 11:00 AM to 6:00 PM, Friday Mar 18 from 11:00 AM to 6:00 PM, Friday Mar 25 from 11:00 AM to 6:00 PM, Friday Apr 1 from 11:00 AM to 6:00 PM, Friday Apr 8 from 11:00 AM to 6:00 PM",,,,"For Friday fish dinners, CALL ON TUESDAYS to order (only pre-ordered will be available!). You have a choice of location where you can order!",724-652-5538,,,True,,True,True,False,,40.979502,-80.376773
True,Blairsville Fire Department,Fire Department,"51 West Campbell Street, Blairsville, PA",http://www.blairsvillefire.com/,"Friday Mar 4 from 4:00 PM to 7:00 PM, Friday Mar 11 from 4:00 PM to 7:00 PM, Friday Mar 18 from 4:00 PM to 7:00 PM, Friday Mar 25 from 4:00 PM to 7:00 PM, Friday Apr 1 from 4:00 PM to 7:00 PM, Friday Apr 8 from 4:00 PM to 7:00 PM, Friday Apr 15 from 4:00 PM to 7:00 PM",,https://www.facebook.com/Blairsville.Volunteer.Fire.Department/photos/a.434671233267800/4813181135416766/,,,724-459-8111,,False,True,False,False,,True,,40.431776,-79.265356
